constructorStandingsId,raceId,name,points,position,positionText,wins
20673,694,Cooper-Maserati,11.0,4,4,0
20672,694,McLaren-Serenissima,1.0,9,9,0
20671,694,Cooper-Ferrari,0.0,11,11,0
20689,695,McLaren-Ford,0.0,12,12,0
20688,695,Shannon,0.0,13,13,0
20687,695,Ferrari,23.0,2,2,1
20686,695,Cooper-Maserati,17.0,4,4,0
20685,695,McLaren-Serenissima,1.0,9,9,0
20684,695,Cooper-Ferrari,0.0,11,11,0
20704,696,McLaren-Ford,0.0,13,13,0
20703,696,Shannon,0.0,15,15,0
20702,696,Eagle-Weslake,0.0,14,14,0
20701,696,Honda,0.0,12,12,0
20700,696,Ferrari,31.0,2,2,2
20699,696,Cooper-Maserati,20.0,4,4,0
20698,696,McLaren-Serenissima,1.0,10,10,0
20719,697,McLaren-Ford,2.0,8,8,0
20718,697,Shannon,0.0,15,15,0
20717,697,Eagle-Weslake,0.0,14,14,0
20716,697,Honda,0.0,13,13,0
20715,697,Ferrari,31.0,2,2,2
20713,697,McLaren-Serenissima,1.0,11,11,0
20734,698,Shannon,0.0,15,15,0
20733,698,McLaren-Ford,2.0,9,9,0
20732,698,Eagle-Weslake,0.0,14,14,0
20731,698,Honda,3.0,8,8,0
20729,698,Cooper-Maserati,30.0,3,3,1
20359,699,Lotus-Climax,9.0,1,1,1
20358,699,Ferrari,6.0,2,2,0
20356,699,Cooper-Climax,2.0,4,4,0
20355,699,Brabham-BRM,0.0,5,5,0
20354,699,Brabham-Climax,0.0,6,6,0
20353,699,Brabham-Ford,0.0,7,7,0
20375,700,Brabham-Ford,0.0,7,7,0
20374,700,Alfa Romeo,0.0,8,8,0
20372,700,BRM,13.0,1,1,1
20371,700,Ferrari,12.0,2,2,0
20370,700,Cooper-Climax,4.0,4,4,0
20391,701,Brabham-Ford,0.0,8,8,0
20390,701,Alfa Romeo,0.0,9,9,0
20389,701,LDS-Alfa Romeo,0.0,11,11,0
20388,701,BRM,19.0,1,1,1
20384,701,Brabham-Climax,3.0,5,5,0
20407,702,Brabham-Ford,0.0,8,8,0
20406,702,Alfa Romeo,0.0,9,9,0
20405,702,LDS-Alfa Romeo,0.0,11,11,0
20404,702,BRM,25.0,2,2,1
20402,702,Cooper-Climax,8.0,4,4,0
20423,703,Brabham-Ford,0.0,8,8,0
20422,703,Alfa Romeo,0.0,9,9,0
20421,703,LDS-Alfa Romeo,0.0,11,11,0
20420,703,BRM,31.0,2,2,1
20419,703,Ferrari,20.0,3,3,0
20416,703,Brabham-Climax,7.0,5,5,0
20439,704,Brabham-Ford,0.0,8,8,0
20438,704,Alfa Romeo,0.0,10,10,0
20437,704,LDS-Alfa Romeo,0.0,11,11,0
20436,704,BRM,37.0,2,2,1
20434,704,Cooper-Climax,8.0,5,5,0
20455,705,Brabham-Ford,0.0,8,8,0
20454,705,Alfa Romeo,0.0,10,10,0
20453,705,LDS-Alfa Romeo,0.0,11,11,0
20452,705,BRM,39.0,2,2,1
20448,705,Brabham-Climax,15.0,4,4,0
20471,706,Brabham-Ford,0.0,9,9,0
20470,706,Alfa Romeo,0.0,10,10,0
20469,706,LDS-Alfa Romeo,0.0,11,11,0
20468,706,BRM,42.0,2,2,2
20467,706,Ferrari,24.0,3,3,0
20464,706,Brabham-Climax,19.0,4,4,0
20487,707,Brabham-Ford,0.0,9,9,0
20486,707,Alfa Romeo,0.0,10,10,0
20485,707,LDS-Alfa Romeo,0.0,11,11,0
20484,707,BRM,45.0,2,2,3
20482,707,Cooper-Climax,14.0,5,5,0
20622,690,Brabham-BRM,0.0,5,5,0
20503,708,Brabham-Ford,0.0,9,9,0
20502,708,Alfa Romeo,0.0,10,10,0
20501,708,LDS-Alfa Romeo,0.0,11,11,0
20500,708,BRM,45.0,2,2,3
20496,708,Brabham-Climax,27.0,3,3,0
20071,709,BRM,9.0,1,1,1
20069,709,BRP,0.0,7,7,0
20067,709,Cooper-Climax,2.0,3,3,0
20065,709,Brabham-Climax,0.0,5,5,0
20081,710,Lotus-Climax,13.0,1,1,1
20080,710,BRM,12.0,2,2,1
20079,710,BRP,0.0,8,8,0
20077,710,Porsche,0.0,9,9,0
20076,710,Brabham-BRM,0.0,7,7,0
20091,711,Lotus-Climax,22.0,1,1,2
20090,711,Porsche,0.0,10,10,0
20088,711,BRM,15.0,2,2,1
20100,712,Scirocco,0.0,9,9,0
20098,712,BRM,21.0,2,2,1
20097,712,BRP,0.0,7,7,0
20096,712,Brabham-BRM,0.0,8,8,0
20095,712,Cooper-Climax,9.0,4,4,0
20112,713,Porsche,0.0,10,10,0
20111,713,Scirocco,0.0,9,9,0
20109,713,Lotus-Climax,34.0,1,1,3
20108,713,BRM,27.0,2,2,1
20107,713,BRP,0.0,7,7,0
20106,713,Brabham-BRM,0.0,8,8,0
20124,714,Porsche,0.0,11,11,0
20123,714,Brabham-Ford,0.0,12,12,0
20121,714,Honda,0.0,9,9,0
20119,714,BRM,33.0,2,2,1
20118,714,BRP,0.0,8,8,0
20136,715,Porsche,0.0,11,11,0
20135,715,Brabham-Ford,0.0,12,12,0
20134,715,Scirocco,0.0,10,10,0
20133,715,Honda,0.0,9,9,0
20132,715,Lotus-Climax,34.0,2,2,3
20130,715,BRP,2.0,8,8,0
20149,716,Porsche,0.0,12,12,0
20148,716,Brabham-Ford,0.0,13,13,0
20147,716,Scirocco,0.0,10,10,0
20146,716,Derrington,0.0,11,11,0
20145,716,Honda,0.0,9,9,0
20143,716,BRM,36.0,2,2,1
20352,699,Alfa Romeo,0.0,8,8,0
20351,699,Lotus-BRM,0.0,9,9,0
20162,717,Derrington,0.0,11,11,0
20161,717,Honda,0.0,9,9,0
20160,717,Brabham-Ford,0.0,13,13,0
20159,717,Porsche,0.0,12,12,0
20157,717,Scirocco,0.0,10,10,0
20175,718,Derrington,0.0,11,11,0
20174,718,Honda,0.0,9,9,0
20173,718,Brabham-Ford,0.0,13,13,0
20172,718,Porsche,0.0,12,12,0
20170,718,Scirocco,0.0,10,10,0
